City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,namatanai,-3.6667,152.4333,78.85,74,100,7.0,PG,1668533506
249,manta,-0.95,-80.7333,80.38,61,75,11.5,EC,1668533506
250,saint-georges,12.0564,-61.7485,82.08,83,40,17.27,GD,1668533507
251,kelso,46.1468,-122.9084,48.7,65,1,1.01,US,1668533507
252,corinto,37.9407,22.9573,60.89,76,33,2.86,GR,1668533508
253,olga,43.7444,135.2892,25.75,76,10,5.86,RU,1668533508
254,jacqueville,5.2052,-4.4146,81.0,74,71,8.14,CI,1668533509
255,denpasar,-8.65,115.2167,78.46,94,20,2.3,ID,1668533265
256,omboue,-1.5746,9.2618,76.84,85,76,7.76,GA,1668533509
257,general roca,-39.0333,-67.5833,83.62,25,0,13.73,AR,1668533510
258,verkhoyansk,67.5447,133.385,-35.07,99,84,1.74,RU,1668533510
259,buala,-8.145,159.5921,79.11,81,45,2.95,SB,1668533510
260,coari,-4.085,-63.1414,84.2,75,96,3.09,BR,1668533511
261,vanimo,-2.6741,141.3028,75.61,88,99,1.41,PG,1668533489
262,hirara,24.8,125.2833,75.52,73,75,13.94,JP,1668533512
263,biltine,14.5333,20.9167,80.15,19,4,9.48,TD,1668533512
264,sechura,-5.5569,-80.8222,76.98,55,94,12.97,PE,1668533513
265,hambantota,6.1241,81.1185,78.04,81,78,5.53,LK,1668533513
266,guerrero negro,27.9769,-114.0611,68.59,30,89,1.12,MX,1668533406
267,tiptur,13.2586,76.4783,70.11,79,100,4.36,IN,1668533514
268,balikpapan,-1.2675,116.8289,77.99,89,75,3.44,ID,1668533514
269,parbatipur,25.6649,88.9247,67.33,53,0,3.76,BD,1668533514
270,kirakira,-10.4544,161.9205,78.93,79,56,2.1,SB,1668533515
271,jiazi,22.8779,116.067,71.13,85,27,15.05,CN,1668533515
272,lujan,-34.5703,-59.105,89.02,29,0,4.0,AR,1668533404
273,conde,-7.2597,-34.9075,80.06,74,75,12.66,BR,1668533516
274,katobu,-4.9408,122.5276,75.94,92,95,2.17,ID,1668533516
275,lompoc,34.6391,-120.4579,54.59,96,0,9.22,US,1668533517
276,bonavista,48.6499,-53.1147,36.32,77,95,21.61,CA,1668533517
277,prainha,-1.8,-53.48,91.62,44,61,6.02,BR,1668533518
278,wilmington,34.2257,-77.9447,71.91,75,75,5.75,US,1668533403
279,yurimaguas,-5.9,-76.0833,91.56,58,40,3.44,PE,1668533518
280,waipawa,-41.4122,175.5153,53.64,76,1,5.7,NZ,1668533518
281,birnin kebbi,12.4539,4.1975,80.49,15,18,8.16,NG,1668533519
282,gorontalo,0.5412,123.0595,76.55,94,100,2.93,ID,1668533519
283,uruzgan,32.8333,66.0,45.88,36,0,2.57,AF,1668533520
284,sitka,57.0531,-135.33,46.29,87,75,3.44,US,1668533520
285,baghdad,33.3406,44.4009,66.11,48,0,4.61,IQ,1668533300
286,wenling,28.3669,121.36,55.83,87,60,9.04,CN,1668533520
287,jabinyanah,35.035,10.9081,71.4,54,2,11.74,TN,1668533521
288,tilichiki,60.4667,166.1,22.39,96,100,10.56,RU,1668533522
289,lagoa,39.05,-27.9833,63.9,88,36,24.16,PT,1668533522
290,margate,51.3813,1.3862,56.89,93,100,5.99,GB,1668533522
291,pangnirtung,66.1451,-65.7125,1.69,94,98,2.77,CA,1668533523
292,asau,46.4333,26.4,36.52,60,53,4.68,RO,1668533523
293,jalu,29.0331,21.5482,65.05,42,1,6.33,LY,1668533524
294,narasannapeta,18.4167,84.05,68.47,72,9,5.95,IN,1668533524
295,xining,36.6167,101.7667,33.85,53,94,0.85,CN,1668533492
296,kisangani,0.5167,25.2,70.52,96,93,3.18,CD,1668533525
297,broome,42.2506,-75.833,37.09,68,75,8.05,US,1668533526
298,santiago,-33.4569,-70.6483,94.28,18,0,12.66,CL,1668533510
299,saint-augustin,51.226,-58.6502,28.38,68,98,9.66,CA,1668533526
300,camacha,33.0833,-16.3333,67.42,78,20,9.22,PT,1668533527
301,acarau,-2.8856,-40.12,85.69,55,99,17.52,BR,1668533527
302,kiunga,-6.1219,141.2906,72.43,100,99,1.77,PG,1668533528
303,sheregesh,52.9209,87.9869,29.64,94,100,3.96,RU,1668533528
304,aksu,41.1231,80.2644,37.87,46,100,1.07,CN,1668533529
305,harqalah,36.0303,10.509,71.46,42,0,5.75,TN,1668533529
306,batemans bay,-35.7167,150.1833,53.1,88,96,2.95,AU,1668533530
307,kondinskoye,59.6481,67.41,2.57,90,100,11.92,RU,1668533530
308,ca mau,9.1769,105.15,76.78,94,91,4.47,VN,1668533412
309,finschhafen,-6.6024,147.8681,80.1,82,100,9.91,PG,1668533531
310,annau,37.8876,58.516,49.5,62,75,2.3,TM,1668533531
311,kapit,2.0167,112.9333,72.59,99,100,0.98,MY,1668533532
312,troitskoye,52.9821,84.6757,37.0,83,99,19.39,RU,1668533532
313,marawi,7.9986,124.2928,68.85,95,100,1.32,PH,1668533532
314,cuenca,-2.8833,-78.9833,68.13,56,75,8.05,EC,1668533533
315,thio,-21.6167,166.2167,66.16,81,28,4.34,NC,1668533533
316,alofi,-19.0595,-169.9187,75.09,100,98,4.61,NU,1668533534
317,baiyin,36.5583,104.2081,40.44,36,99,2.68,CN,1668533534
318,luorong,24.4058,109.6086,62.26,80,98,3.4,CN,1668533535
319,khandbari,27.3747,87.2039,56.28,76,22,3.13,NP,1668533535
320,olinda,-8.0089,-34.8553,82.13,65,75,10.36,BR,1668533536
321,coahuayana,18.7333,-103.6833,89.56,45,60,3.98,MX,1668533537
322,turukhansk,65.8167,87.9833,-17.27,85,13,7.0,RU,1668533493
323,ulefoss,59.2838,9.2646,41.09,88,100,11.54,NO,1668533537
324,opuwo,-18.0607,13.84,78.8,21,0,12.68,NA,1668533538
325,santander,43.4647,-3.8044,59.47,87,40,3.0,ES,1668533538
326,faya,18.3851,42.4509,60.91,80,15,4.54,SA,1668533539
327,kaeo,-35.1,173.7833,62.33,94,87,5.48,NZ,1668533539
328,kirovsk,48.6375,38.6428,31.66,55,38,6.6,UA,1668533539
